,KPI Name,Scenario 1 Value,Scenario 2 Value,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14
0,Average KPIs.avg_Port Operation,26:24,27:00,27:14,27:35,27:28,27:02,45:04,21:00,20:00,20:08,20:00,19:53,27:00,19:00
1,Average KPIs.avg_berth_waiting_time,0:47,1:15,4:37,0:55,5:41,3:13,1:05,2:13,2:24,2:14,1:17,2:56,0:24,3:16
2,Average KPIs.avg_mc_waiting_time,1:06,0:04,1:49,0:48,0:50,1:27,0:47,1:15,1:02,0:54,1:03,1:02,1:02,1:02
3,Average KPIs.avg_storage_waiting_time,4:00,4:12,2:08,2:04,2:06,1:47,4:39,2:07,1:38,1:36,1:36,1:25,2:59,1:37
4,Average KPIs.avg_total_time,35:52,35:32,40:49,36:39,38:56,39:11,53:34,31:48,31:37,31:41,28:16,32:25,36:17,32:14
5,Average KPIs.avg_waiting_time,1:53,1:20,6:27,1:43,6:32,4:40,1:53,3:29,3:27,3:08,2:21,3:59,1:27,4:18
6,Average Ships in Queue,0.058333333333333334,0.07017543859649122,0.1851063829787234,0.0367965367965368,0.30837004405286345,0.16519823788546256,0.038834951456310676,0.084070796460177,0.24299065420560748,0.2850589777195282,0.12778505897771952,0.30691056910569103,0.022004889975550123,0.3604336043360434
7,Average Storage,72858.3333333334,69763.1578947369,314779.43262411276,430924.9639249654,334453.0102790018,344145.37444934103,291857.6051779945,303525.8112094392,1147615.9323542605,1202244.6483180635,1018350.3713411938,1521481.4814815456,784933.170334143,1101132.5654923297
8,Cargo Volume.Solide,1508.3333333333333,1499.1666666666665,7617.0,7563.333333333332,7559.166666666666,7513.333333333334,7634.999999999999,7529.166666666666,30166.666666666664,30072.499999999996,30355.83333333333,30128.33333333333,30113.333333333332,30049.83333333333
9,Forced Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Max KPIs.max_Port Operation,52:33,64:06,68:44,58:01,59:03,62:10,84:10,51:32,50:18,59:16,52:12,57:10,62:51,55:30
11,Max KPIs.max_berth_waiting_time,15:15,17:33,83:28,45:59,62:45,85:02,39:39,39:10,110:27,81:44,56:15,100:50,46:19,102:24
12,Max KPIs.max_mc_waiting_time,28:30,4:30,66:00,51:00,48:00,67:30,40:29,57:00,64:30,58:30,66:00,55:30,52:30,64:30
13,Max KPIs.max_total_time,64:30,69:20,113:51,88:46,123:20,121:10,97:40,79:03,131:41,115:53,99:13,135:25,117:09,133:18
14,Max KPIs.max_waiting_time,28:30,17:33,83:28,51:00,93:39,85:02,40:29,57:00,110:27,81:44,66:00,100:50,52:30,102:24
15,Occupation Rate.Solide.0,0.18034494535519124,0.17527322404371587,0.40150273224043714,0.2263073011536126,0.37226206739526413,0.3619004250151791,0.2657331511839709,0.2850656496660595,0.3405528992106861,0.3001176381299332,0.34456777474195505,0.34285253491196116,0.26643139040680025,0.33006792653309047
16,Occupation Rate.Solide.1,,,0.32722184274438376,0.23311323618700666,0.33777512143290833,0.33706170309653916,0.2627371736490589,0.25543222525804493,0.34936057984213725,0.29681238615664846,0.3608682452944748,0.34100827261687916,0.22566977838494232,0.3239279751062538
17,Occupation Rate.Solide.2,,,,0.2661429872495446,,,,,0.3500208712811172,0.3023622495446266,0.3437784608378871,0.33567850637522767,0.24704576502732242,0.33039238008500305
18,Occupation Rate.Solide.3,,,,,,,,,0.34913099574984824,0.27586331208257436,0.3441029143897996,0.3213019884638737,0.2467972070431087,0.2957384638737098
19,Occupation Rate.Solide.4,,,,,,,,,0.3171884486945962,0.29662264723740134,0.344108606557377,0.3304113539769277,0.27171372191863996,0.3162758044930176
20,Occupation Rate.Solide.5,,,,,,,,,,0.27826730418943535,,,,
21,Ship Type KPIs.A.avg_Port Operation,20:31,20:55,,,,,,,,,,,,
22,Ship Type KPIs.A.avg_berth_waiting_time,0:01,0:23,,,,,,,,,,,,
23,Ship Type KPIs.A.avg_mc_waiting_time,0:39,0:00,,,,,,,,,,,,
24,Ship Type KPIs.A.avg_total_time,29:20,31:08,,,,,,,,,,,,
25,Ship Type KPIs.A.avg_waiting_time,0:41,0:23,,,,,,,,,,,,
26,Ship Type KPIs.A.max_Port Operation,45:13,39:01,,,,,,,,,,,,
27,Ship Type KPIs.A.max_berth_waiting_time,0:26,5:23,,,,,,,,,,,,
28,Ship Type KPIs.A.max_mc_waiting_time,10:30,0:00,,,,,,,,,,,,
29,Ship Type KPIs.A.max_total_time,56:32,52:58,,,,,,,,,,,,
30,Ship Type KPIs.A.max_waiting_time,10:30,5:23,,,,,,,,,,,,
31,Ship Type KPIs.B.avg_Port Operation,27:07,26:45,24:28,25:40,26:18,24:04,,20:36,18:50,19:27,19:22,19:15,,17:34
32,Ship Type KPIs.B.avg_berth_waiting_time,0:46,1:33,6:26,1:34,4:47,2:22,,2:52,1:18,2:45,1:23,1:43,,3:14
33,Ship Type KPIs.B.avg_mc_waiting_time,1:44,0:09,1:56,0:24,1:10,2:11,,1:20,1:24,1:27,1:33,0:53,,0:22
34,Ship Type KPIs.B.avg_total_time,36:52,34:35,39:52,35:08,37:17,36:14,,31:51,30:02,32:05,28:10,30:12,,29:30
