,0,0,0,0,0
Cargo Volume,30085.83333333333,30048.666666666664,30060.999999999996,30103.33333333333,30146.666666666664
Berth 0,0.6789351851851851,0.5496300091074681,0.667433211900425,0.5997874924104432,0.4038744687310261
Berth 1,0.6309179568913176,0.502130768063145,0.6528726472374013,0.5727136460230723,0.40179872495446267
Berth 2,0.6132437765634488,0.5250512295081967,0.6421410139647844,0.5470913023679418,0.42316142987249544
Berth 3,0.6351491347905283,0.49366082270795386,0.6259752580449301,0.5493340163934426,0.4260454614450516
Berth 4,0.6100542653309047,0.5027246508803886,0.6002087128111718,0.5461691712204008,0.39788630843958717
C tt,70:00,54:09,61:16,57:12,
D tt,90:03,60:07,65:48,61:27,54:22
B tt,68:59,47:08,59:36,54:21,
C wt,26:56,11:29,20:17,18:18,
D wt,38:32,9:44,17:05,15:28,6:39
B wt,28:53,6:45,19:05,15:10,
Average Ships in Queue,2.9780876494023905,0.9397590361445783,1.7543859649122806,1.6027851458885942,0.1844059405940594
avg_tempo_storage,74.29725542275361,78.12516733601086,76.97368421052649,116.193005754759,69.14521452145227
avg_berth_waiting_time,30:17,8:50,17:17,15:39,3:14
avg_mc_waiting_time,1:23,1:28,1:28,1:12,1:42
avg_waiting_time,31:41,10:18,18:45,16:52,4:57
avg_storage_waiting_time,15:39,14:56,15:52,11:18,19:43
avg_Port Operation,37:06,36:27,37:50,32:50,44:37
avg_total_time,77:43,55:50,63:00,58:31,57:20
max_waiting_time,223:59,147:15,144:21,139:17,105:36
Berth 5,,0.5196341833636915,,,
E tt,,,,,58:01
E wt,,,,,4:34
